Team Name,Person 1,Person 2,Person 3,Preliminaries Day,Finalist,Finalist Day,Finalist Time
Team Baba,MilkbonezHQ,Milopzer (Awesome Sanz),Fedya / Luc,Day 3,FALSE,,
Murrtrio,dem0nsupp0rt,bipbopemma,meghannyd,Day 1,FALSE,,
KOD,Kaboodle,BitOtter,DelilahDied,Day 3,FALSE,,
Tinder,MinuteTech,Rasplin,LuckyMixx,Day 3,FALSE,,
BALDERS,dxzys,Sycamo,LadyAuro,Day 1,TRUE,Day 1,10:58 (DNF)
Mooblooms,IzzyFoxy_,Muu,GirlSpoken,Day 2,FALSE,,
Winners,Noname (DJLKO),MxAero,Nikikup,Day 3,FALSE,,
DeepFried Rats,SpoiledMilk,AstralPinkRose,FrizzMcwizz,Day 1,FALSE,,
Orions Belt,lunarlanding,QuartzMoth,sbeve,Day 3,FALSE,,
Parkour Warriors,Yoshinom,Makolnari,natisalie,Day 3,FALSE,,
Goofy Goobers,Lynrose,oPumpkins,TuxBowDie,Day 1,TRUE,Day 1,WITHDREW
Awesome Squad,Hydah,Serapter,godis,Day 2,TRUE,Day 2,12:34
Fraud Squad,Illumina,Antfrost,Greninja,Day 3,TRUE,Day 2,6:46
3 Big Guys,Sobr,TisFreddy,Lach,Day 2,FALSE,,
One Hit Wonders,ApolloTheSunflower,roksy,mangojuice,Day 2,FALSE,,
Florida Trio,Willbee,Punkin,SaruiiSk,Day 3,FALSE,,
meat,BryTheGuy,bormethius,coinmonke,Day 3,FALSE,,
Head Hunters,Unchance (desicade),ManePear,Tae,Day 3,FALSE,,
Brits and a Cat,Truspira,Arch,Dabbycat,Day 2,FALSE,,
Two & a 1/2 Fluffys,Fisoc,Soldraic,Shep,Day 1 ,FALSE,,
Awesome Sauce Bread Ohio,Vixios (HuGod1),Reeon,Its_Spark,Day 1,TRUE,Day 1,6:53 
Water Facade,Doly,ToxBerry,FerreMC,Day 2,TRUE,Day 1,7:35
The Dystopian Team,Uncertain_Pine,GlitchyBurger,Adwertise,Day 2,FALSE,,
The Dino Trio,Sw11per,Kebab,Destroyer Kat,Day 3,FALSE,,
Bing Chilling,YourFriendlyDuck,NotKevin,Finmin,Day 3,TRUE,Day 2,10:09
Three Heart Trio,Yeah Jaron,baconnwaffles0,planet,Day 2,FALSE,,
The Clouters,NotLightnings,render,IV Plaza,Day 2,TRUE,Day 2,9:46
We Hate Short People,erocks,Purpful,Slyp,Day 3,FALSE,,
The Vibe Tribe,MangoPlayz,Mqryo,chill,Day 3,FALSE,,
Sneaky Soldiers,rekrap2,Fantst,SilverIsMe,Day 2,TRUE,Day 2,7:39
kittens,wowy,danicricket,sweat,Day 3,FALSE,,
hbg,Nerdi,Feinberg,silverr,Day 3,TRUE,Day 2,23.06
The Purple Trio,Midmysticx,ItzSubz_,Vitalasy,Day 1,TRUE,Day 1,10:58 (DNF)
TBD,KyleEff,Reddoons,apokuna,Day 1,FALSE,,
F5,MrCube6,4CVIT,choof,Day 3,TRUE,Day 1,9:45
Silly lil guys,lovoviii,floorb_,Pili Dtowncat,Day 3,FALSE,,
Team Based,PrimeGreen,Ava,Bubble,Day 2,FALSE,,
Smell like Team Spirit,Lamari,rai2i,ZackPlays,Day 2,FALSE,,
The Arcane,iljone,Ac3 (LandonLegends),BlueTigerTheLion (cave),Day 3,FALSE,,
The French,TomLWSM,Anta,ChanaxMC,Day 2,FALSE,,
Ñ tim,TomasGranGamer,elpabli001,iNateDeLuque,Day 2,FALSE,,
9H Time Difference,Tive,mika859,TheDerpyKat,Day 2,FALSE,,
The Biggest Birds,EternalHappiness,Lush,mutrd,Day 3,FALSE,,
The Strangers,HTNMC,Pan,Laqqy (erinreyn),Day 2,FALSE,,
The Block (The Pals),FireBreathMan,gummywroms,Mysticat,Day 3,TRUE,Day 2,7:16
NES,Nebular,Nukeri,SandwichLord,Day 2,TRUE,Day 1,7:51
Squonks,WolfyTheWitch,olivesleepy,IanBealio,Day 2,FALSE,,
"Good, Bad, UGLY",Pears,echosion,Jany,Day 1,FALSE,,
Mancraft Minehut,Baablu,bubbo,YelloWool,Day 2,TRUE,Day 2,13:47
UHC and a Simmer,Zeus,fruitberries,Hannahxxrose (MoleyG),Day 3,TRUE,Day 2,13:19
Spice Girls,TheTerrain,Leowook,Tyrad,Day 3,FALSE,,
pneumon,Evkaz,ImShiba,prsnt,Day 3,TRUE,Day 2,9:51
Deez,wolfeei,shatter,Wallibear,Day 3,TRUE,Day 1,6:48
Smooth Criminals,Elichu,Jwhisp (AntVenom),Akser,Day 2,FALSE,,
The East,wemmbu,McClutch (Year Jaron),Derapchu,Day 2,TRUE,Day 2,11:33
Boozi,Donibobes,Quif,Lynix,Day 2,FALSE,,
Discord Mods,Intel,TryHard,stimp,Day 1,TRUE,Day 2,20:53
Blazing ballers,TheStoryPainter,Roesalie,DashingPrune,Day 1,TRUE,Day 1,10:58 (DNF)
Never Stop Gambling,soupforeloise,Seapeekay,Fullham,Day 3,FALSE,,
The Outcasts,KubaBabilon,SB (Wxngs),RyanGamez6901,Day 3,FALSE,,
Incompetence,Kenadian,Jepex,Horizon,Day 3,FALSE,,
Mcsellouts,Magmaca5ter,Cuddle,jacobb,Day 3 ,FALSE,,
The Cheesers,Captainsparklez ,Karra,PetteZaHutt,Day 3,FALSE,,
spegatti sweater,Antvenom,Polishbot,ProfessorBiggy,Day 2,FALSE,,
The Duckies,JustDash,Bloo,JustCallMeSlip (qndres),Day 1,TRUE,Day 2,WITHDREW
